NAME OF COMPANY,SYMBOL,SECTOR
20 Microns Limited,20MICRONS,Metals & Mining
3i Infotech limited,3IINFOTECH,Information Technology
3M India Ltd.,3MINDIA,Diversified
3P LAND HOLDINGS LTD.,3PLAND,Financial Services
5paisa Capital Limited,5PAISA,Financial Services
63 Moons Technologies Limited,63MOONS,Information Technology
7NR Retail Limited,7NR,Consumer Services
7SEAS ENTERTAINMENT LIMITED,7SEASL,"Media, Entertainment & Publication"
A Infrastructure Limited,AINFRA,Construction Materials
A.F. Enterprises Limited,AFEL,Services
A.K. Spintex Ltd.,AKSPINTEX,Textiles
A.K.Capital Services Ltd.,AKCAPIT,Financial Services
A-1 Acid Limited,AAL,Chemicals
A2Z Infra Engineering Limited,A2ZINFRA,Construction
AA Plus Tradelink Limited,AAPLUSTRAD,Services
Aadi Industries Ltd,AADIIND,Chemicals
Aananda Lakshmi Spinning Mills Limited,AANANDALAK,Textiles
Aanchal Ispat Limited,AANCHALISP,Capital Goods
Aar Shyam India Investment Company Limited,AARSHYAM,Financial Services
Aarey Drugs & Pharmaceuticals Ltd,AREYDRG,Healthcare
AARNAV FASHIONS LIMITED,AARNAV,Textiles
Aartech Solonics Limited,AARTECH,Capital Goods
Aarti Drugs Limited,AARTIDRUGS,Healthcare
Aarti Industries Ltd,AARTIIND,Chemicals
Aarti Surfactants Limited,AARTISURF,Chemicals
AARV Infratel Limited,AARVINFRA,Textiles
"Aarvee Denims & Exports Ltd.,",AARVEEDEN,Textiles
Aashka Hospitals Limited,AASHKA,Healthcare
Aastamangalam Finance Limited,AASTAFIN,Financial Services
"Aaswa Trading & Export Ltd.,",ASWTR,Services
AAVAS Financiers Limited,AAVAS,Financial Services
Aayush Food And Herbs Limited,AAYUSH,Fast Moving Consumer Goods
"Aban  Offshore Ltd.,",ABAN,"Oil, Gas & Consumable Fuels"
ABans Enterprises Limited,ABANSENT,Metals & Mining
ABATE AS INDUSTRIES LIMITED,ABATEAS,Financial Services
ABB India Limited,ABB,Capital Goods
Abbott India Ltd.,ABBOTINDIA,Healthcare
ABC Gas (International) Ltd.,ABCGAS,Metals & Mining
ABC India Ltd.,ABCINDQ,Services
Abhinav Capital Services Limited,ABHICAP,Financial Services
Abhinav Leasing & Finance Limited,ALFL,Financial Services
Abhishek Finlease limited,ABHIFIN,Services
Abhishek Infraventures Limited,ABHIINFRA,Realty
ABM Knowledgeware Ltd.,ABMKNO,Information Technology
ACC Ltd,ACC,Construction Materials
ACCEL LIMITED,ACCEL,Information Technology
ACCELYA SOLUTIONS INDIA LIMITED,ACCELYA,Information Technology
ACE MEN ENGG WORKS LIMITED,ACEMEN,Consumer Services
Ace Software Exports ltd.,ACESOFT,Information Technology
Achyut Healthcare Limited,ACHYUT,Healthcare
ACI Infocom Ltd.,ACIIN,Information Technology
Acknit Industries Ltd,ACKNIT,Textiles
Acme Resources Limited,ACME,Financial Services
"Acrow (India) Ltd.,",ACROW,Capital Goods
Acrysil Ltd.,ACRYSIL,Consumer Durables
Action Construction Equipments Ltd.,ACE,Capital Goods
Active Clothing Co  Limited,ACTIVE,Textiles
Adani Enterprises Ltd.,ADANIENT,Metals & Mining
Adani Green Energy Limited,ADANIGREEN,Power
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Services
Adani Power Limited,ADANIPOWER,Power
ADANI TOTAL GAS LIMITED,ATGL,"Oil, Gas & Consumable Fuels"
Adani Transmission Limited,ADANITRANS,Power
Adani Wilmar Limited,AWL,Fast Moving Consumer Goods
Adarsh Mercantile Limited,ADARSH,Services
Adarsh Plant Project Ltd.,ADARSHPL,Chemicals
ADC India Communications Limited,ADCINDIA,Telecommunication
Adcon Capital Services Limited,ADCON,Financial Services
"Addi Industries Ltd.,",ADDIND,Textiles
Add-Shop E-Retail Limited,ASRL,Consumer Services
Adeshwar Meditex Limited,ADESHWAR,Healthcare
ADF Foods Limited.,ADFFOODS,Fast Moving Consumer Goods
ADHARSHILA CAPITAL SERVICES LIMITED,ADHARSHILA,Financial Services
Adinath Exim Resources Ltd.,ADIEXRE,Financial Services
"Adinath Textiles Ltd.,",ADINATH,Textiles
Adishakti Loha and Ispat Limited,ADISHAKTI,Capital Goods
Aditya Birla  Money Ltd,BIRLAMONEY,Financial Services
Aditya Birla Capital Ltd,ABCAPITAL,Financial Services
Aditya Birla Fashion and Retail Limited,ABFRL,Consumer Services
Aditya Birla Sun Life AMC Limited,ABSLAMC,Financial Services
ADITYA CONSUMER MARKETING LIMITED,ACML,Consumer Services
Aditya Ispat Ltd.,ADITYA,Capital Goods
Aditya Spinners Ltd.,ADITYASP,Textiles
Aditya Vision Limited,AVL,Consumer Services
ADLINE CHEM LAB LIMITED,ADLINE,Healthcare
AD-Manum Finance Ltd,ADMANUM,Financial Services
Ador Fontech Ltd,ADORFO,Capital Goods
Ador Multiproducts Ltd,ADORMUL,Fast Moving Consumer Goods
Ador Welding Ltd.,ADORWELD,Capital Goods
Adroit Infotech Limited,ADROITINFO,Information Technology
Advait Infratech Limited,ADVAIT,Capital Goods
Advance Lifestyles Ltd.,ADVLIFE,Textiles
ADVANCE METERING TECHNOLOGY LIMITED,AMTL,Power
"Advance Petrochemicals Ltd.,",ADVPETR-B,Chemicals
Advance Syntex Limited,ASYL,Capital Goods
Advanced Enzyme Technologies Limited,ADVENZYMES,Fast Moving Consumer Goods
Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,Consumer Services
Advik Capital Limited,ADVIKCA,Financial Services
Aegis Logistics Ltd.,AEGISLOG,"Oil, Gas & Consumable Fuels"
Aether Industries Limited,AETHER,Chemicals
Affle (India) Limited,AFFLE,Information Technology
Affordable Robotic & Automation Limited,AFFORDABLE,Capital Goods
Agarwal Industrial Corporation Limited,AGARIND,Chemicals
AGI GREENPAC LIMITED,AGI,Capital Goods
AGI Infra Limited,AGIIL,Realty
Agio Paper & Industries Limited,AGIOPAPER,Forest Materials
Agrimony Commodities Limited,AGRIMONY,Services
Agri-Tech India Ltd.,AGRITECH,Fast Moving Consumer Goods
Agro Tech Foods Ltd,ATFL,Fast Moving Consumer Goods
AGS TRANSACT TECHNOLOGIES LIMITED,AGSTRA,Services
Ahluwalia Contracts (India) Ltd,AHLUCONT,Construction
Ahmedabad Steelcraft Ltd.,AHMDSTE,Capital Goods
AI CHAMPDANY INDUSTRIES LIMITED,AICHAMP,Forest Materials
AIA Engineering Ltd.,AIAENG,Capital Goods
"Aimco Pesticides Ltd.,",AIMCOPEST,Chemicals
AISHWARYA TECHNOLOGIES AND TELECOM LIMITED,AISHWARYA,Telecommunication
Ajanta Pharma Ltd.,AJANTPHARM,Healthcare
Ajanta Soya Limited,AJANTSOY,Fast Moving Consumer Goods
Ajcon Global Services Ltd.,AJCON,Financial Services
AJEL Limited,AJEL,Information Technology
Ajmera Realty & Infra India Limited,AJMERA,Realty
AJR INFRA AND TOLLING LIMITED,AJRINFRA,Construction
Ajwa Fun World & Resorts Ltd,AJWAFUN,Consumer Services
Akar Auto Industries Limited,AAIL,Automobile and Auto Components
AKASHDEEP METAL INDUSTRIES LIMITED,AKASHDEEP,Financial Services
AKI India Limited,AKI,Consumer Durables
AKM Lace and Embrotex Limited,AKM,Textiles
Aksh Optifibre Ltd.,AKSHOPTFBR,Telecommunication
Akshar Spintex Limited,AKSHAR,Textiles
AksharChem (India) Ltd.,AKSCHEM,Chemicals
Akzo Nobel India Limited,AKZOINDIA,Consumer Durables
Alacrity Securities Limited,ALSL,Financial Services
Alan Scott Industries Ltd.,ALAN SCOTT,"Media, Entertainment & Publication"
Alankit Limited,ALANKIT,Services
"Albert David Ltd.,",ALBERTDA,Healthcare
Alchemist Corporation Ltd,ALCHCORP,Chemicals
Alembic  Ltd,ALEMBICLTD,Realty
ALEMBIC PHARMACEUTICALS LIMITED,APLLTD,Healthcare
Alexander Stamps And Coin Limited,ALEXANDER,Diversified
Alfa Ica (India) Ltd,ALFAICA,Capital Goods
Alfa Transformers ltd.,ALFATRAN,Capital Goods
Alfavision Overseas (India) Ltd.,ALFAVIO,Fast Moving Consumer Goods
"Alfred Herbert (India) Ltd.,",ALFREDHE,Financial Services
ALGOQUANT FINTECH LIMITED,AQFINTECH,Financial Services
Alicon Castalloy Limited,ALICON,Automobile and Auto Components
Alkali Metals Limited,ALKALI,Chemicals
Alkem Laboratories Limited,ALKEM,Healthcare
ALKOSIGN LIMITED,ALKOSIGN,Fast Moving Consumer Goods
"Alkyl Amines Chemicals Ltd.,",ALKYLAMINE,Chemicals
Allcargo Logistics Ltd,ALLCARGO,Services
Alliance Integrated Metaliks Limited,AIML,Capital Goods
Allied Digital Services Limited,ADSL,Information Technology
Allsec Technologies Ltd.,ALLSEC,Services
Almondz Global Securities Limited,ALMONDZ,Financial Services
"Alna Trading & Exports Ltd.,",ALNATRD,Services
Alok Industries Ltd.,ALOKTEXT,Textiles
Alpa Laboratories Limited,ALPA,Healthcare
Alphageo (India)Ltd.,ALPHAGEO,"Oil, Gas & Consumable Fuels"
Alphalogic Techsys Limited,ALPHALOGIC,Information Technology
Alpine Housing Development Corporat,ALPINEHOU,Realty
Alps Industries Ltd.,ALPSINDUS,Textiles
Alstone Textiles (India) Limited,ALSTONE,Consumer Services
Alufluoride  Ltd.,ALUFLUOR,Chemicals
Amal Ltd,AMAL,Chemicals
"Amalgamated Electricity Co. Ltd.,",AMALGAM,Services
Amara Raja Batteries Ltd,AMARAJABAT,Automobile and Auto Components
Amarjothi Spinning Mills Ltd,AMARJOTHI,Textiles
Amarnath Securities Ltd.,AMARSEC,Financial Services
Amba Enterprises Ltd.,AEL,Capital Goods
"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,Healthcare
Ambar Protein Industries Limited,AMBARPIL,Fast Moving Consumer Goods
Amber Enterprises India Limited,AMBER,Consumer Durables
Ambica Agarbathies & Aroma Ind. Ltd.,AMBICAAGAR,Fast Moving Consumer Goods
Ambika Cotton Mills Ltd.,AMBIKCO,Textiles
Ambition Mica Limited,AMBITION,Consumer Durables
Ambuja Cements Ltd.,AMBUJACEM,Construction Materials
Amco India Ltd.,AMCOIND,Capital Goods
AMD Industries Ltd,AMDIND,Capital Goods
AMERISE BIOSCIENCES LIMITED,AMERISE,Capital Goods
"Amforge Industries Ltd.,",AMFORG,Automobile and Auto Components
Ami Organics Limited,AMIORG,Healthcare
AMIN TANNERY LIMITED,AMINTAN,Consumer Durables
Amines & Plasticizers Ltd,AMNPLST,Chemicals
Amit International Ltd.,AMITINT,Textiles
AMJ LAND HOLDINGS LIMITED,AMJLAND,Realty
Amrapali Capital and Finance Services Limited,ACFSL,Financial Services
Amrapali Fincap Limited,AMRAFIN,Financial Services
Amrapali Industries Ltd,AMRAPLIN,Services
Amraworld Agrico Ltd.,AMRAAGRI,Textiles
Amrutanjan Health Care Limited,AMRUTANJAN,Healthcare
AMS POLYMERS LIMITED,AMS,Chemicals
Anand Projects Ltd,ANANDPROJ,Construction
Anand Rathi Wealth Limited,ANANDRATHI,Financial Services
Anand Rayons Limited,ARL,Textiles
Anant Raj Limited,ANANTRAJ,Realty
ANDHRA PAPER LIMITED,ANDHRAPAP,Forest Materials
"Andhra Petrochemicals Ltd.,",ANDHRAPET,Chemicals
Andrew Yule & Company Ltd,ANDREWYU,Fast Moving Consumer Goods
ANERI FINCAP LIMITED,ANERI,Financial Services
ANG Lifesciences India Limited,ANG,Healthcare
Angel Fibers Limited,ANGEL,Textiles
ANGEL ONE LIMITED,ANGELONE,Financial Services
Anik Industries Limited,ANIKINDS,Services
Anjani Finance Ltd,ANJANIFIN,Financial Services
Anjani Foods Limited,ANJANIFOODS,Fast Moving Consumer Goods
Anjani Portland Cement Ltd.,APCL,Construction Materials
Anjani Synthetics Limited,ANJANI,Textiles
Anka India Ltd.,ANKIN,Consumer Durables
Ankit Metal  & Power Limited,ANKITMETAL,Metals & Mining
Anmol India Limited,ANMOL,"Oil, Gas & Consumable Fuels"
Anna Infrastructures Ltd,ANNAINFRA,Financial Services
ANS Limited,ANSINDUS,Fast Moving Consumer Goods
"Ansal Buildwell Ltd.,",ANSALBU,Realty
ANSAL HOUSING LIMITED,ANSALHSG,Realty
Ansal Properties & Infrastructure Ltd.,ANSALAPI,Realty
"Anshuni Commercials Ltd.,",ANSHNCO,Consumer Durables
ANTARIKSH INDUSTRIES LIMITED,ANTARIKSH,Realty
Antony Waste Handling Cell Limited,AWHCL,Utilities
"Anuh Pharma Ltd.,",ANUHPHR,Healthcare
ANUPAM FINSERV LIMITED,ANUPAM,Financial Services
Anupam Rasayan India Limited,ANURAS,Chemicals
Anuroop Packaging Limited,ANUROOP,Capital Goods
Apar Industries Ltd,APARINDS,Capital Goods
Apcotex Industries Limited,APCOTEXIND,Capital Goods
APEX CAPITAL AND FINANCE LIMITED,ACFL,Financial Services
Apex Frozen Foods Limited,APEX,Fast Moving Consumer Goods
Apis India Ltd,APIS,Fast Moving Consumer Goods
APL Apollo Tubes Limited,APLAPOLLO,Capital Goods
Aplab Ltd.,APLAB,Capital Goods
APM Finvest Limited,APMFINVEST,Financial Services
"APM Industries Ltd.,",APMIN,Textiles
"Apollo Finvest (India) Ltd.,",APOLLOFI,Financial Services
"Apollo Hospitals Enterprises Ltd.,",APOLLOHOSP,Healthcare
Apollo Micro Systems Limited,APOLLO,Capital Goods
APOLLO PIPES LIMITED,APOLLOPIPES,Capital Goods
APOLLO TRICOAT TUBES LIMITED,APOLLOTRI,Capital Goods
Apollo Tyres Ltd,APOLLOTYRE,Automobile and Auto Components
Apoorva Leasing Finance & Investment Company Limited,APOORVA,Financial Services
Aptech Ltd.,APTECHT,Consumer Services
Aptus Value Housing Finance India Limited,APTUS,Financial Services
"Aravali Securities & Finance Ltd.,",ARAVALIS,Services
ARC Finance Limited,ARCFIN,Financial Services
Arcee Indusrtries ltd.,ARCEEIN,Capital Goods
Archana Software Ltd.,SSLFINANCE,Information Technology
Archidply Decor Limited,ADL,Consumer Durables
Archidply Industries Limited,ARCHIDPLY,Consumer Durables
Archies Ltd.,ARCHIES,Consumer Durables
Archit Organosys Limited,ARCHITORG,Chemicals
Arex Industries Ltd.,AREXMIS,Textiles
Arfin India Limited,ARFIN,Metals & Mining
"Aries Agro Limited,",ARIES,Chemicals
Arihant Capital Markets Ltd.,ARIHCAPM,Financial Services
Arihant Foundations & Housing Ltd.,ARIHANT,Realty
Arihant Superstructures Limited,ASL,Realty
Arihant Tournesol Ltd.,ARHNTTO,Services
Arihants Securities ltd.,ARISE,Services
Aris International Limited,ARISINT,Information Technology
Arman Financial Services Limited,ARMANFIN,Financial Services
Arman Holdings Limited,ARMAN,Financial Services
Arnold Holdings Ltd,ARNOLD,Financial Services
Aro Granite Industries Ltd.,AROGRANITE,Consumer Durables
Aroma Enterprises (India) Ltd.,AROMAENT,Services
Arrow Greentech Limited,ARROWGREEN,Capital Goods
Arshiya Limited,ARSHIYA,Services
ARSS Infrastructure Projects Limited,ARSSINFRA,Construction
Artefact Projects Ltd,ARTEFACT,Services
Artemis Electricals and Projects Limited,AEPL,Capital Goods
Artemis Medicare Services Limited,ARTEMISMED,Healthcare
Artson Engineering Ltd,ARTSONEN,Capital Goods
Aruna Hotels Ltd.,ARUNAHTEL,Consumer Services
ARUNIS ABODE LIMITED,ARUNIS,Financial Services
Arunjyoti Bio Ventures Limited ,ABVL,Financial Services
Arvind Fashions Limited,ARVINDFASN,Consumer Services
"Arvind Ltd.,",ARVIND,Textiles
Arvind SmartSpaces Limited,ARVSMART,Realty
Aryaman Capital Markets Limited,ARYACAPM,Financial Services
Aryaman Financial Services Ltd.,ARYAMAN,Financial Services
Aryan Share & Stock Brokers Ltd.,ARYAN,Financial Services
ARYAVAN ENTERPRISE LIMITED,ARYAVAN,Capital Goods
Asahi India Glass Ltd.,ASAHIINDIA,Automobile and Auto Components
Asahi Industries Limited,ASAHIIND,Textiles
Asahi Songwon Colors Ltd.,ASAHISONG,Chemicals
Ashapura Minechem Ltd,ASHAPURMIN,Metals & Mining
Ashapuri Gold Ornament Limited,AGOL,Consumer Durables
Ashiana Agro Industries Ltd,ASHAI,Fast Moving Consumer Goods
Ashiana Housing Limited,ASHIANA,Realty
Ashiana Ispat Limited,ASHIS,Capital Goods
Ashika Credit Capital Limited,ASHIKACR,Financial Services
Ashima Ltd,ASHIMASYN,Textiles
"Ashirwad Capital Ltd.,",ASHCAP,Financial Services
Ashirwad Steels & Industries  Ltd.,ASHSI,Capital Goods
Ashish Polyplast Ltd.,ASHISHPO,Capital Goods
Ashnoor Textiles Mills Ltd.,ASHNOOR,Textiles
Ashok Alco-Chem Ltd.,ASHOKALC,Metals & Mining
"Ashok Leyland Ltd.,",ASHOKLEY,Capital Goods
Ashoka Buildcon Limited,ASHOKA,Construction
Ashoka Metcast Limited,AML,Construction
Ashoka Refineries Ltd.,ASHOKRE,Fast Moving Consumer Goods
Ashram Online.com Ltd,ASHRAM,Healthcare
ASI INDUSTRIES LIMITED,ASIIL,Metals & Mining
ASIA CAPITAL LIMITED,ASIACAP,Financial Services
Asia Pack Ltd.,ASIAPAK,Textiles
ASIAN ENERGY SERVICES LTD,ASIANENE,"Oil, Gas & Consumable Fuels"
ASIAN GRANITO INDIA LIMITED,ASIANTILES,Consumer Durables
Asian Hotels (East) Limited,AHLEAST,Consumer Services
Asian Hotels (North) Limited,ASIANHOTNR,Consumer Services
Asian Paints Ltd.,ASIANPAINT,Consumer Durables
Asian Petroproducts & Exports Ltd.,ASINPET,Chemicals
Asian Star Co. Ltd.,ASTAR,Consumer Durables
Asian Tea & Exports Ltd.,ASIANTNE,Services
Asit C Mehta Financial Services Limited,ASITCFIN,Financial Services
ASM Technologies Ltd.,ASMTEC,Information Technology
Aspira Pathlab & Diagnostics Limited,ASPIRA,Healthcare
Assam Entrade Limited,ASSAMENT,Financial Services
Associated Alcohols & Breweries Ltd,ASALCBR,Fast Moving Consumer Goods
ASTEC LIFESCIENCES LIMITED,ASTEC,Chemicals
Aster DM Healthcare Limited,ASTERDM,Healthcare
Astra Microwave Products Ltd.,ASTRAMICRO,Capital Goods
ASTRAL LIMITED,ASTRAL,Capital Goods
AstraZeneca Pharma India Ltd.,ASTRAZEN,Healthcare
Astron Paper & Board Mill Limited,ASTRON,Forest Materials
Asutosh Enterprise Ltd.,ASUTENT,Services
Atam Valves Limited,ATAM,Capital Goods
Atharv Enterprises Limited,ATHARVENT,Financial Services
Athena Constructions Limited,ATHCON,Realty
Athena Global Technologies Limited,ATHENAGLO,Information Technology
Atishay Limited,ATISHAY,Information Technology
Atlanta Limited,ATLANTA,Construction
Atlas Jewellery India Limited,AJIL,Consumer Durables
Atul Auto Limited,ATULAUTO,Capital Goods
"Atul Limited.,",ATUL,Chemicals
ATV Projects India Ltd,ATVPR,Capital Goods
AU Small Finance Bank Limited,AUBANK,Financial Services
Aurionpro Solutions Ltd.,AURIONPRO,Information Technology
Auro Laboratories Ltd.,AUROLAB,Healthcare
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare
Aurum PropTech Limited,AURUM,Information Technology
AuSom Enterprise Limited,AUSOMENT,Services
"Austin Engineering Co. Ltd.,",AUSTENG,Capital Goods
Authum Investment & Infrastructure Limited,AIIL,Financial Services
Auto Pins (India) Ltd.,AUTOPINS,Automobile and Auto Components
AUTOLINE INDUSTRIES LTD.,AUTOIND,Automobile and Auto Components
"Automobile Corpn. of Goa Ltd.,",ACGL,Automobile and Auto Components
"Automotive Axles Ltd.,",AUTOAXLES,Automobile and Auto Components
Automotive Stampings and Assemblies Ltd.,ASAL,Automobile and Auto Components
Autoriders International Ltd,AUTOINT,Services
AVADH SUGAR & ENERGY LIMITED,AVADHSUGAR,Fast Moving Consumer Goods
Available Finance Ltd.,AVAILFC,Financial Services
Avantel Limited,AVANTEL,Telecommunication
Avanti Feeds ltd.,AVANTI,Fast Moving Consumer Goods
Avenue Supermarts Limited,DMART,Consumer Services
Avi Polymers Ltd.,AVI,Chemicals
AVI PRODUCTS INDIA LIMITED,APIL,Services
Aviva Industries Limited,AVIVA,Services
Avonmore Capital & Management Services Limited,AVONMORE,Financial Services
Avro India Limited,AVROIND,Consumer Durables
AVT Natural Products Ltd.,AVTNPL,Fast Moving Consumer Goods
Axel Polymers Ltd.,AXELPOLY,Capital Goods
AXIS Bank Ltd.,AXISBANK,Financial Services
AXISCADES TECHNOLOGIES LIMITED,AXISCADES,Information Technology
Axita Cotton Limited,AXITA,Textiles
Axtel Industries Ltd.,AXTEL,Capital Goods
AYM Syntex Limited,AYMSYNTEX,Textiles
"Ayoki Mercantile Ltd.,",AYOME,Services
B & A Ltd.,BNALTD,Fast Moving Consumer Goods
B L Kashyap and Sons Ltd,BLKASHYAP,Construction
B&A Packaging India Limited,BAPACK,Capital Goods
B.A.G. Films & Media Ltd,BAGFILMS,"Media, Entertainment & Publication"
B.C. Power Controls Limited,BCP,Capital Goods
B.N.Rathi Securities Ltd.,BNRSEC,Financial Services
B.P.Capital Ltd.,BPCAP,Financial Services
B2B Software Technologies Ltd.,B2BSOFT,Information Technology
Baba Arts Ltd,BABA,"Media, Entertainment & Publication"
Bacil Pharma Ltd.,BACPHAR,Healthcare
Bafna Pharmaceuticals Limited,BAFNAPHARM,Healthcare
Baid Leasing And Finance Co.Ltd.,BALFC,Financial Services
Bajaj Auto Limited,BAJAJ-AUTO,Automobile and Auto Components
BAJAJ CONSUMER CARE LIMITED,BAJAJCON,Fast Moving Consumer Goods
"Bajaj Electricals Ltd.,",BAJAJELEC,Consumer Durables
Bajaj Finance Limited,BAJFINANCE,Financial Services
Bajaj Finserv Limited,BAJAJFINSV,Financial Services
Bajaj Global Ltd,BAJGLOB,Services
Bajaj Healthcare Limited,BAJAJHCARE,Healthcare
Bajaj Hindusthan Sugar Limited,BAJAJHIND,Fast Moving Consumer Goods
Bajaj Holdings & Investment Limited,BAJAJHLDNG,Financial Services
"Bajaj Steel Industries Ltd.,",BAJAJST,Capital Goods
Bal Pharma Ltd.,BALPHARMA,Healthcare
Balaji Amines Ltd.,BALAMINES,Chemicals
Balaji Telefilms Ltd.,BALAJITELE,"Media, Entertainment & Publication"
"Balkrishna Industries Ltd.,",BALKRISIND,Automobile and Auto Components
Balkrishna Paper Mills Ltd,BALKRISHNA,Forest Materials
"Ballarpur Industries Ltd.,",BALLARPUR,Forest Materials
"Balmer Lawrie & Co. Ltd.,",BALMLAWRIE,Diversified
Balmer Lawrie Investments Ltd.,BLIL,Financial Services
Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods
BALU FORGE INDUSTRIES LIMITED,BALUFORGE,Capital Goods
Balurghat Technologies Ltd.,BALTE,Services
Bambino Agro Industries Ltd,BAMBINO,Fast Moving Consumer Goods
Bampsl Securities Ltd.,BAMPSL,Financial Services
Banaras Beads Ltd.,BANARBEADS,Consumer Durables
Banas Finance Limited,BANASFN,Financial Services
"Banco Products (India) Ltd.,",BANCOINDIA,Automobile and Auto Components
Bandhan Bank Limited,BANDHANBNK,Financial Services
Bang Overseas Ltd,BANG,Textiles
Bangalore Fort Farms Limited,BFFL,Forest Materials
Bank Of Baroda,BANKBARODA,Financial Services
Bank of India,BANKINDIA,Financial Services
Bank of maharashtra,MAHABANK,Financial Services
Bannari Amman Spinning Mills Ltd,BASML,Textiles
"Bannari Amman Sugars Ltd.,",BANARISUG,Fast Moving Consumer Goods
Bansal Roofing Products Limited,BRPL,Capital Goods
Bansisons Tea Industries Ltd.,BANSTEA,Fast Moving Consumer Goods
"Banswara Syntex Ltd.,",BANSWRAS,Textiles
BARAK VALLEY CEMENTS LIMITED,BVCL,Construction Materials
BARBEQUE-NATION HOSPITALITY LIMITED,BARBEQUE,Consumer Services
Baroda Extrusion Ltd.,BAROEXT,Capital Goods
"Baroda Rayon Corpn. Ltd.,",BARODARY,Textiles
Bartronics India Ltd.,BARTRONICS,Information Technology
"Basant Agro-Tech (India) Ltd.,",BASANTGL,Chemicals
BASF India Ltd,BASF,Chemicals
Bata India Limited,BATAINDIA,Consumer Durables
Batliboi Ltd,BATLIBOI,Capital Goods
Bayer CropScience Limited.,BAYERCROP,Chemicals
Bazel International Limited,BAZELINTER,Financial Services
"BCC Fuba India Ltd.,",BCCFUBA,Information Technology
BCL Enterprises Limited,BCLENTERPR,Financial Services
BCL INDUSTRIES LIMITED,BCLIL,Fast Moving Consumer Goods
BCPL Railway Infrastructure Limited,BCPL,Construction
BDH Industries Ltd.,BDH,Healthcare
BEARDSELL LIMITED,BEARDSELL,Capital Goods
Bedmutha Industries Limited,BEDMUTHA,Capital Goods
Beekay Niryat Limited,BNL,Services
Beekay Steel Industries Ltd.,BEEKAY,Capital Goods
Beeyu Overseas Ltd.,BEEYU,Services
Bella Casa Fashion & Retail Limited,BELLACASA,Textiles
"Bemco Hydraulics Ltd.,",BEMHY,Capital Goods
BEML Ltd,BEML,Capital Goods
Benara Bearings and Pistons Limited,BENARA,Capital Goods
Benares Hotels Ltd,BENARAS,Consumer Services
Bengal & Assam Company Limited,BENGALASM,Financial Services
"Bengal Steel Industries Ltd.,",BENGALS,Capital Goods
Bengal Tea & fabrics Ltd.,BENGALT,Fast Moving Consumer Goods
Bentley Commercial Enterprises Ltd.,BENTCOM,Services
Berger Paints India Ltd,BERGEPAINT,Consumer Durables
Bervin Investments And Leasing Ltd.,BERVINL,Financial Services
Beryl Drugs Ltd.,BERLDRG,Healthcare
Beryl Securities Ltd,BERYLSE,Financial Services
BEST AGROLIFE LIMITED,BESTAGRO,Chemicals
Best Eastern Hotels Limited,BESTEAST,Consumer Services
"Betex India Ltd.,",BETXIND,Textiles
BF Investment Limited,BFINVEST,Financial Services
BF Utilities Ltd.,BFUTILITIE,Construction
BFL Asset Finvest Limited,BFLAFL,Financial Services
BGR ENERGY SYSTEMS LIMITED,BGRENERGY,Construction
Bhageria Industries Limited,BHAGIL,Chemicals
Bhagiradha Chemicals and Industries,BHAGCHEM,Chemicals
Bhagwati Autocast Limited,BGWTATO,Capital Goods
"Bhagwati Oxygen Ltd.,",BHAGWOX,Chemicals
Bhagyanagar India Limited,BHAGYNAGAR,Metals & Mining
Bhagyanagar Properties Ltd,BHAGYAPROP,Services
Bhakti Gems And Jewellery Limited,BGJL,Consumer Durables
Bhandari Hosiery Exports Ltd.,BHANDHOS,Textiles
Bhanderi Infracon Limited,BHANDERI,Realty
"Bhansali Engineering Polymers Ltd.,",BEPL,Chemicals
Bharat Agri Fert and Realty Ltd,BHARATAGRI,Chemicals
Bharat Bhushan Share & Commodity Brokers Ltd.,BHARAT,Financial Services
"Bharat Bijlee Ltd.,",BBL,Capital Goods
Bharat Dynamics Limited,BDL,Capital Goods
"Bharat Electronics Ltd.,",BEL,Capital Goods
Bharat Forge Ltd,BHARATFORG,Capital Goods
"Bharat Gears Ltd.,",BHARATGEAR,Automobile and Auto Components
"Bharat Heavy Electricals Ltd.,",BHEL,Capital Goods
Bharat Immunologicals & Biologicals,BIBCL,Healthcare
Bharat Parenterals Limited,BPLPHARMA,Healthcare
"Bharat Petroleum Corpn. Ltd.,",BPCL,"Oil, Gas & Consumable Fuels"
Bharat Rasayan Limited,BHARATRAS,Chemicals
Bharat Road Network Limited,BRNL,Construction
Bharat Seats Ltd,BHARATSE,Automobile and Auto Components
Bharat Wire Ropes Limited,BHARATWIRE,Capital Goods
Bharti Airtel  Ltd.,BHARTIARTL,Telecommunication
Bhartia Bachat Limited,BHARTIA,Financial Services
Bhartiya International Ltd.,BIL,Consumer Durables
Bhaskar Agrochemicals Ltd.,BHASKAGR,Chemicals
Bhatia Colour Chem Limited,BCCL,Chemicals
Bhatia Communications & Retail (India) Limited,BHATIA,Consumer Services
Bhilwara Spinners Ltd,BHILSPIN,Textiles
Bhilwara Technical Textiles Limited,BTTL,Textiles
